# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0,3.6e4,1.355e4,15.724,0.287,NaN,158.6,0
0.01,3.599e4,1.354e4,15.721,0.287,NaN,158.6,586.304
0.02,3.598e4,1.353e4,15.719,0.287,NaN,158.6,1172.607
0.03,3.597e4,1.352e4,15.717,0.287,NaN,158.6,1758.911
0.04,3.596e4,1.351e4,15.715,0.286,NaN,158.6,2345.214
0.045,3.596e4,1.351e4,15.714,0.286,NaN,158.6,2638.366
0.052,3.594e4,1.349e4,15.71,0.286,NaN,158.5,2601.072
0.062,3.593e4,1.348e4,15.706,0.286,NaN,158.5,2551.346
0.067,3.592e4,1.347e4,15.704,0.286,NaN,158.5,2528.97
0.074,3.591e4,1.346e4,15.701,0.286,NaN,158.5,2741.042
0.084,3.589e4,1.344e4,15.696,0.286,NaN,158.5,3063.078
0.094,3.587e4,1.342e4,15.691,0.286,NaN,158.5,2903.811
0.104,3.585e4,1.34e4,15.687,0.286,NaN,158.4,2744.543
0.114,3.583e4,1.338e4,15.682,0.286,NaN,158.4,2585.276
0.124,3.581e4,1.336e4,15.677,0.286,NaN,158.4,2426.009
0.134,3.58e4,1.335e4,15.673,0.286,NaN,158.4,2445.729
0.144,3.578e4,1.333e4,15.669,0.286,NaN,158.4,2465.45
0.154,3.576e4,1.331e4,15.665,0.286,NaN,158.3,2485.17
0.164,3.575e4,1.33e4,15.661,0.286,NaN,158.3,2504.89
0.174,3.573e4,1.328e4,15.656,0.286,NaN,158.3,2524.611
0.186,3.571e4,1.326e4,15.651,0.286,NaN,158.3,2548.275
0.196,3.569e4,1.324e4,15.647,0.286,NaN,158.3,2559.715
0.206,3.568e4,1.323e4,15.643,0.286,NaN,158.2,2571.155
0.216,3.566e4,1.321e4,15.638,0.286,NaN,158.2,2582.595
0.226,3.564e4,1.319e4,15.634,0.286,NaN,158.2,2594.035
0.231,3.564e4,1.319e4,15.632,0.286,NaN,158.2,2599.755
0.239,3.562e4,1.317e4,15.628,0.286,NaN,158.2,2594.713
0.249,3.56e4,1.315e4,15.624,0.286,NaN,158.2,2587.99
0.259,3.559e4,1.314e4,15.619,0.286,NaN,158.1,2581.266
0.269,3.557e4,1.312e4,15.615,0.286,NaN,158.1,2574.543
0.279,3.555e4,1.31e4,15.611,0.286,NaN,158.1,2567.82
0.289,3.554e4,1.309e4,15.606,0.286,NaN,158.1,2561.097
0.298,3.552e4,1.307e4,15.602,0.286,NaN,158.1,2554.71
0.308,3.55e4,1.305e4,15.598,0.286,NaN,158,2567.051
0.318,3.549e4,1.304e4,15.593,0.286,NaN,158,2579.392
0.328,3.547e4,1.302e4,15.589,0.286,NaN,158,2591.734
0.338,3.545e4,1.3e4,15.584,0.286,NaN,158,2604.075
0.348,3.543e4,1.298e4,15.58,0.286,NaN,158,2616.416
0.358,3.542e4,1.297e4,15.575,0.286,NaN,157.9,2628.757
0.368,3.54e4,1.295e4,15.571,0.286,NaN,157.9,2641.099
0.371,3.539e4,1.294e4,15.57,0.286,NaN,157.9,2644.801
0.375,3.539e4,1.294e4,15.567,0.286,NaN,157.9,2644.623
0.382,3.538e4,1.292e4,15.564,0.286,NaN,157.9,2644.357
0.392,3.536e4,1.291e4,15.56,0.286,NaN,157.9,2643.962
0.402,3.534e4,1.289e4,15.555,0.286,NaN,157.9,2643.567
0.412,3.532e4,1.287e4,15.551,0.286,NaN,157.8,2643.173
0.422,3.531e4,1.285e4,15.546,0.286,NaN,157.8,2642.778
0.432,3.529e4,1.284e4,15.542,0.286,NaN,157.8,2642.383
0.442,3.527e4,1.282e4,15.537,0.286,NaN,157.8,2641.988
0.452,3.525e4,1.28e4,15.533,0.286,NaN,157.8,2641.593
0.462,3.523e4,1.278e4,15.528,0.286,NaN,157.7,2641.199
0.472,3.522e4,1.277e4,15.523,0.286,NaN,157.7,2640.804
0.482,3.52e4,1.275e4,15.519,0.286,NaN,157.7,2640.409
0.492,3.518e4,1.273e4,15.514,0.286,NaN,157.7,2640.014
0.502,3.516e4,1.271e4,15.51,0.286,NaN,157.7,2639.619
0.512,3.515e4,1.27e4,15.505,0.286,NaN,157.6,2639.225
0.522,3.513e4,1.268e4,15.501,0.286,NaN,157.6,2638.83
0.534,3.511e4,1.266e4,15.495,0.285,NaN,157.6,2638.366
0.544,3.509e4,1.264e4,15.491,0.285,NaN,157.6,2636.631
0.554,3.507e4,1.262e4,15.486,0.285,NaN,157.5,2634.895
0.564,3.506e4,1.261e4,15.482,0.285,NaN,157.5,2633.16
0.574,3.504e4,1.259e4,15.477,0.285,NaN,157.5,2631.425
0.584,3.502e4,1.257e4,15.472,0.285,NaN,157.5,2629.689
0.594,3.501e4,1.256e4,15.468,0.285,NaN,157.5,2627.954
0.604,3.499e4,1.254e4,15.463,0.285,NaN,157.4,2626.219
0.614,3.497e4,1.252e4,15.459,0.285,NaN,157.4,2624.484
0.624,3.495e4,1.25e4,15.454,0.285,NaN,157.4,2622.748
0.634,3.494e4,1.249e4,15.45,0.285,NaN,157.4,2621.013
0.644,3.492e4,1.247e4,15.445,0.285,NaN,157.4,2619.278
0.654,3.49e4,1.245e4,15.441,0.285,196.3,157.3,2617.542
0.669,3.488e4,1.243e4,15.434,0.285,196.5,157.3,2614.939
0.692,3.484e4,1.239e4,15.424,0.285,196.8,157.3,2611.035
0.725,3.478e4,1.233e4,15.408,0.285,197.3,157.2,2605.178
0.775,3.469e4,1.224e4,15.385,0.285,198.2,157.1,2596.502
0.825,3.461e4,1.216e4,15.362,0.285,199.2,157,2587.825
0.875,3.452e4,1.207e4,15.339,0.285,200.1,156.9,2579.149
0.925,3.443e4,1.198e4,15.316,0.285,201.3,156.8,2570.472
0.975,3.435e4,1.19e4,15.293,0.285,202.4,156.7,2561.796
0.979,3.434e4,1.189e4,15.291,0.285,202.4,156.7,2561.145
0.985,3.433e4,1.188e4,15.289,0.285,202.5,156.7,2562.699
0.993,3.432e4,1.187e4,15.285,0.285,202.6,156.6,2565.031
1.006,3.43e4,1.185e4,15.279,0.285,202.9,156.6,2568.529
1.025,3.426e4,1.181e4,15.27,0.284,203.5,156.6,2573.775
1.053,3.421e4,1.176e4,15.257,0.284,204.1,156.5,2581.645
1.096,3.414e4,1.169e4,15.237,0.284,203.2,156.4,2593.449
1.142,3.406e4,1.161e4,15.215,0.284,202.5,156.3,2606.19
1.192,3.398e4,1.153e4,15.192,0.284,201.4,156.2,2608.061
1.24,3.389e4,1.144e4,15.169,0.284,200.9,156.1,2609.868
1.277,3.383e4,1.138e4,15.151,0.284,200.8,156,2611.245
1.31,3.377e4,1.132e4,15.135,0.284,200.9,155.9,2612.494
1.343,3.371e4,1.126e4,15.12,0.284,201.1,155.9,2613.705
1.376,3.366e4,1.121e4,15.104,0.284,201.3,155.8,2614.939
1.409,3.36e4,1.115e4,15.088,0.284,201.6,155.7,2616.164
1.443,3.354e4,1.109e4,15.071,0.284,202.4,155.7,2617.47
1.49,3.346e4,1.101e4,15.048,0.283,203.5,155.5,2619.229
1.54,3.337e4,1.092e4,15.024,0.283,204.3,155.4,2621.099
1.59,3.328e4,1.083e4,15,0.283,203.3,155.3,2622.97
1.64,3.32e4,1.074e4,14.975,0.283,202.6,155.2,2624.841
1.677,3.313e4,1.068e4,14.957,0.283,202.3,155.1,2626.194
1.706,3.308e4,1.063e4,14.943,0.283,202.2,155.1,2627.274
1.732,3.304e4,1.059e4,14.93,0.283,202.3,155,2628.256
1.758,3.299e4,1.054e4,14.917,0.283,202.6,154.9,2629.254
1.788,3.294e4,1.049e4,14.902,0.283,203.1,154.9,2630.343
1.824,3.288e4,1.043e4,14.884,0.283,203.7,154.8,2631.704
1.874,3.279e4,1.034e4,14.86,0.283,204.7,154.7,2633.575
1.924,3.27e4,1.025e4,14.835,0.283,203.9,154.5,2635.445
1.974,3.262e4,1.016e4,14.809,0.282,203.4,154.4,2637.316
2.002,3.257e4,1.012e4,14.795,0.282,203.2,154.4,2638.366
2.03,3.252e4,1.007e4,14.781,0.282,203.4,154.3,2638.366
2.06,3.247e4,1.002e4,14.766,0.282,203.6,154.2,2638.366
2.094,3.241e4,9956,14.749,0.282,203.9,154.1,2638.366
2.133,3.234e4,9887,14.729,0.282,204.4,154,2638.366
2.183,3.225e4,9800,14.703,0.282,204.8,153.9,2638.366
2.233,3.216e4,9712,14.677,0.282,204.3,153.8,2638.366
2.279,3.208e4,9632,14.654,0.282,204.1,153.7,2638.366
2.289,3.206e4,9614,14.648,0.282,204.1,153.7,2638.366
2.304,3.204e4,9588,14.641,0.282,204.1,153.6,2636.519
2.327,3.2e4,9549,14.629,0.282,204.1,153.6,2633.749
2.357,3.195e4,9496,14.613,0.282,204.3,153.5,2629.969
2.391,3.189e4,9438,14.596,0.282,204.6,153.4,2625.879
2.438,3.181e4,9356,14.571,0.282,205.2,153.3,2620.043
2.488,3.172e4,9269,14.546,0.281,204.8,153.2,2613.908
2.538,3.163e4,9183,14.519,0.281,204.5,153.1,2607.773
2.567,3.158e4,9133,14.504,0.281,204.6,153,2604.223
2.597,3.153e4,9081,14.489,0.281,204.8,152.9,2600.586
2.638,3.146e4,9010,14.467,0.281,205.3,152.8,2595.529
2.688,3.137e4,8924,14.441,0.281,205.3,152.7,2589.394
2.738,3.129e4,8837,14.414,0.281,205.1,152.5,2583.259
2.761,3.125e4,8797,14.402,0.281,205.2,152.5,2580.45
2.795,3.119e4,8740,14.385,0.281,205.4,152.4,2572.471
2.845,3.111e4,8655,14.359,0.281,205.6,152.3,2560.852
2.895,3.102e4,8571,14.333,0.281,205.6,152.1,2549.233
2.945,3.094e4,8487,14.306,0.28,205.5,152,2537.615
2.985,3.087e4,8420,14.285,0.28,205.6,151.9,2528.285
3.029,3.08e4,8345,14.262,0.28,206,151.8,2518.06
3.079,3.071e4,8261,14.236,0.28,205.9,151.7,2506.441
3.121,3.064e4,8191,14.214,0.28,205.9,151.6,2496.795
3.166,3.057e4,8120,14.191,0.28,206.2,151.5,2473.957
3.216,3.049e4,8040,14.166,0.28,206.4,151.3,2448.421
3.266,3.041e4,7959,14.14,0.28,206.3,151.2,2422.886
3.316,3.033e4,7879,14.115,0.28,206.5,151.1,2397.35
3.366,3.025e4,7799,14.089,0.28,206.7,151,2371.814
3.416,3.017e4,7719,14.063,0.28,206.7,150.8,2346.278
3.436,3.014e4,7687,14.053,0.28,206.7,150.8,2335.919
3.466,3.009e4,7641,14.038,0.279,206.8,150.7,2320.548
3.512,3.002e4,7572,14.016,0.279,207,150.6,2297.49
3.562,2.995e4,7496,13.991,0.279,207,150.5,2272.229
3.612,2.987e4,7421,13.967,0.279,207.2,150.4,2246.967
3.662,2.98e4,7346,13.942,0.279,207.3,150.2,2221.706
3.678,2.977e4,7321,13.934,0.279,207.3,150.2,2213.653
3.702,2.974e4,7287,13.923,0.279,207.3,150.1,2195.796
3.738,2.969e4,7235,13.906,0.279,207.3,150,2169.01
3.79,2.961e4,7160,13.881,0.279,207.5,149.9,2129.998
3.84,2.955e4,7097,13.86,0.279,207.5,149.8,2018.738
3.89,2.949e4,7035,13.839,0.279,207.6,149.7,1907.478
3.94,2.942e4,6972,13.818,0.279,207.7,149.6,1796.218
3.99,2.936e4,6909,13.797,0.279,207.7,149.5,1684.958
4.004,2.934e4,6892,13.791,0.279,207.7,149.5,1653.805
4.025,2.932e4,6874,13.785,0.279,207.9,149.4,1614.678
4.057,2.93e4,6847,13.776,0.279,207.9,149.4,1555.988
4.104,2.926e4,6808,13.763,0.278,207.8,149.3,1467.952
4.152,2.922e4,6767,13.749,0.278,208,149.3,1377.63
4.202,2.918e4,6725,13.735,0.278,208,149.2,1284.471
4.252,2.913e4,6682,13.721,0.278,208.1,149.1,1191.312
4.302,2.909e4,6640,13.706,0.278,208.1,149,1098.152
4.352,2.905e4,6598,13.692,0.278,208.1,149,1004.993
4.402,2.901e4,6556,13.678,0.278,208.1,148.9,911.834
4.415,2.9e4,6545,13.674,0.278,208.2,148.9,888.035
4.434,2.899e4,6536,13.671,0.278,208.2,148.9,847.94
4.463,2.897e4,6521,13.666,0.278,208.2,148.8,787.797
4.506,2.895e4,6499,13.658,0.278,208.1,148.8,697.583
4.538,2.893e4,6483,13.653,0.278,208.1,148.8,630.634
4.586,2.892e4,6466,13.647,0.278,208.1,148.7,557.359
4.636,2.89e4,6448,13.641,0.278,208.1,148.7,481.011
4.656,2.889e4,6441,13.638,0.278,208.1,148.7,450.453
4.686,2.888e4,6434,13.636,0.278,208,148.7,421.006
4.731,2.887e4,6423,13.632,0.278,208,148.7,376.836
4.781,2.886e4,6410,13.628,0.278,208,148.7,327.789
4.82,2.885e4,6401,13.625,0.278,208,148.6,289.577
4.87,2.884e4,6394,13.622,0.278,207.9,148.6,247.836
4.92,2.884e4,6387,13.62,0.278,207.9,148.6,206.095
4.97,2.883e4,6380,13.617,0.278,207.9,148.6,164.355
5.005,2.883e4,6375,13.616,0.278,207.8,148.6,135.136
5.055,2.882e4,6372,13.615,0.278,207.8,148.6,109.576
5.105,2.882e4,6369,13.614,0.278,207.7,148.6,84.016
5.155,2.882e4,6367,13.613,0.278,207.5,148.6,58.457
5.205,2.881e4,6364,13.612,0.278,207.6,148.6,32.915
5.219,2.881e4,6363,13.612,0.278,207.6,148.6,25.74
5.24,2.881e4,6363,13.612,0.278,207.5,148.6,22.175
5.272,2.881e4,6363,13.612,0.278,207.3,148.6,16.827
5.314,2.881e4,6362,13.611,0.278,207.3,148.6,9.579
5.353,2.881e4,6362,13.611,0.278,207.4,148.6,3.029
5.371,2.881e4,6362,13.611,0.278,207.4,148.6,0
5.398,2.881e4,6362,13.611,0.278,207.3,148.6,0
5.438,2.881e4,6362,13.611,0.278,207.2,148.6,0
5.479,2.881e4,6362,13.611,0.278,207.2,148.6,0
5.529,2.881e4,6362,13.611,0.278,207.3,148.6,0
5.579,2.881e4,6362,13.611,0.278,206.9,148.6,0
5.612,2.881e4,6362,13.611,0.278,206.8,148.6,0
5.639,2.881e4,6362,13.611,0.278,206.9,148.6,0
5.68,2.881e4,6362,13.611,0.278,207.2,148.6,0
